text,hypothesis,majority_label
construction,infrastructure,other-related
dollar,yuan,alternation
the beach,sand,entailment
and apply,and is,independent
commission,lead,independent
is fighting,war against,entailment
first,republic,independent
one,refinery,independent
together,close together,entailment
mixture,shirt,independent
peace,south,independent
carry out,oppose,independent
publication,time,independent
analyze,be,independent
other,paul,independent
people,palestinian,entailment
always,father,independent
a second,once,other-related
assassin of,was killed,independent
a young girl,young man,alternation
", was",a former,other-related
judge 's,chief justice,entailment
case,federal,other-related
airline,an airline,equivalence
church,roman,entailment
security,western,independent
quickly,very fast,equivalence
of people,"man ,",entailment
bookselling,bookshop,other-related
as prime,prime minister of,other-related
government,quality,independent
candidate,winner,entailment
death,the imposition,independent
do,party,independent
center,hub,equivalence
enter,launch,independent
comment,council,independent
part,west,entailment
the book,the world,alternation
colombia,pastrana,entailment
set up,start,equivalence
country,state,other-related
dollar,years,independent
", palestinian",gaza strip,other-related
win,capture,entailment
nuclear,arms,entailment
man,take,independent
iraq,reconstruction,other-related
be possible,may not be,alternation
european,british,entailment
accession,action,independent
bike,rider,other-related
fine,gain,independent
a woman,mother,entailment
operation,protection,independent
die,gone,alternation
his lifetime,his career,entailment
centre,here,independent
the vehicle,motorcycle,entailment
man,patient,entailment
"state ,",member state .,entailment
hussein,saddam,other-related
bank,u.s.,independent
a higher,more,independent
interior,ministry,independent
child in,the boy,entailment
more than,run out of,alternation
equipment,use,other-related
block,break,independent
other,red,independent
oil,petroleum,entailment
lay,wear,independent
part of,the past,independent
agenda,show,independent
minister,monday,independent
piece,woman,independent
jump,trick,independent
sir,sock,independent
standing,watch,independent
film,works,independent
been,fill,independent
developed,research,independent
amendment,say,independent
law,testing,independent
kurd,kurdish,other-related
say,state,independent
at the time,was,equivalence
recovery,salvage,equivalence
military,time,other-related
commission,expert,independent
child,little boy,entailment
commission,minister,independent
compare to,up to,independent
effort,measure,independent
chance to,good chance,entailment
compact,instrument,independent
laurent,president,independent
tax,social,entailment
being made,is making a,equivalence
air,operations,independent
people,young people,entailment
act,living,independent
are,local,independent
carry a,hold by,alternation
china,a chinese,entailment
stage,stand,independent
many,the number of,other-related
general,strong,independent
again,night,independent
ground,increase,independent
there is,"yes ,",independent
no small,a large,entailment
rally,track,other-related
lead,actor,entailment
line,race,other-related
ioc,olympic,other-related
pick,take,equivalence
costs,travel,independent
environmentally responsible,environmentally sound,other-related
virtual,virtual reality,entailment
international,the international community,entailment
a kid,young,alternation
three child,three kid,equivalence
mr.,was,independent
day,run,independent
language,support,independent
and later,then,equivalence
launch,was,independent
work,construction,entailment
future,government,independent
timor,east timor 's,entailment
phone,mobile,entailment
digital,figure,independent
timor,east timor,entailment
's work,work from,other-related
court,superior,entailment
kofi annan,secretary-general kofi annan,entailment
cancer,survival,other-related
do,cause,entailment
eggs,the egg,entailment
", was",was elected,entailment
camera,red,independent
victory,won,other-related
give,set,independent
leader,palestinian,independent
the space,the building,entailment
people,pedestrian,entailment
the council,the eu,independent
talks,the six-party talks,entailment
vote,cast,entailment
bed,cat,independent
order,police,other-related
is n't,make,independent
cell,network,other-related
not,table,independent
become,will be,equivalence
dirty,meat,independent
morning,sunday,other-related
"""",show,independent
attempt to,try,equivalence
golf,tennis,alternation
settler,israeli settler,entailment
on terror,on terrorism,equivalence
become,treat,independent
the eu,there are,independent
face the,is in,independent
the state,florida,entailment
have,missing,independent
boy,young girl,alternation
play,sit,independent
good,interest,independent
paper,write,other-related
coat and,jacket and,equivalence
day,person,independent
hold by,is holding,other-related
international,nuclear,alternation
lot,road,independent
a man is,the man 's,entailment
car,money,independent
help,give,entailment
communication,march,independent
agency,release,independent
hiv,people,independent
pavement,walk,other-related
kid,the boy,entailment
is the,is the european,entailment
are,watch,independent
pilot 's,the pilot,equivalence
right,something,independent
monument,stone,other-related
office,statement,independent
is doing,who is,independent
associate,report,independent
china,province,other-related
dead,still,independent
hold,show,independent
are located,stand,entailment
%,loss,independent
kill,victim,other-related
play,soccer,entailment
chance to,opportunity to,entailment
favorite,good,independent
have,notice,independent
play a,play the,other-related
background,open,independent
man,hands,entailment
intelligence,cia,entailment
begin,take,independent
support of the,support the,equivalence
death,man,independent
joining the,member of,other-related
fine,more,independent
project,propose,independent
die in,life in,alternation
the top,up the,independent
europe .,the european,entailment
government,government agency,entailment
man,nobody,other-related
patient,people,independent
is playing,to play,other-related
round,shoot,other-related
dress,painted,independent
installation,new,independent
mother,visit,other-related
health,health care,entailment
eu,europe,other-related
a member,partner,entailment
asia,organization,independent
child,the house,independent
computer,server,other-related
climb,run,independent
die,say,independent
pact,north,entailment
a little,little boy,independent
black,grey,other-related
member,union,other-related
provide,system,independent
recruit,soldier,entailment
government as,administration 's,entailment
by anyone,by someone,entailment
organisation,ngo,entailment
cat,the man,alternation
headquarters,wing,independent
", are",", report",independent
hall,library,other-related
government,process,independent
fruit and vegetable,vegetable,entailment
policy,say,independent
is looking,is watching,equivalence
attack,soldier,other-related
tell,work,independent
back,corps,independent
bank,banking,entailment
black,vehicle,independent
ocean,the shore,other-related
have,schedule,independent
the kid,a boy,entailment
hong kong,taiwan,alternation
workers are,construction worker,entailment
administration,drug,independent
many,years,other-related
boy,up,independent
the study,the subject,other-related
video,video game,entailment
leg,party,independent
human,the world,alternation
norway,norwegian,entailment
set,use,independent
grey,soft,independent
national,foreign national,entailment
china,military,other-related
man,european,entailment
lifetime .,career .,entailment
lose,weaken,other-related
bank,plan,independent
european,goal,independent
homeopathic,homeopathy,equivalence
the small,the little girl,entailment
as prime,prime minister,independent
continue,new,independent
friday,unite,independent
somebody is,someone is,equivalence
snake,the snake,entailment
child,rest,independent
soldier,uk,independent
member,other,independent
police,u.s.,independent
do,laugh,independent
dirt,grass,independent
jerusalem city,of jerusalem,other-related
take,to take,equivalence
du,film,independent
palestinians are,the palestinian,other-related
dirt,right,independent
was killed by,was shot,other-related
participation,take part in,equivalence
accession,tuesday,independent
state,unite state,entailment
leave the,out of,other-related
rocky,rock,entailment
agency,head,other-related
require,train,independent
a man,another man,entailment
president,sign,independent
political,provide,independent
break,move,independent
the chance,the opportunity,equivalence
construction of,under construction,other-related
is being,is following,independent
crashed,were,independent
is over,period,independent
door,man,independent
girl,seat,independent
minister,trade,other-related
risk to,threat to the,equivalence
organization,system,independent
matter,soil,entailment
are trained,training is,other-related
baghdad,force,independent
funny,off,independent
car,parking,other-related
in effort,in order,independent
daily,today,entailment
iraq 's,iraqi,equivalence
company,percent,independent
dance,dancer,other-related
dog,show,other-related
help,prevent,independent
go to,schedule,independent
minister,soviet,other-related
the winner,win,other-related
band,boy,independent
further,general,independent
aim of,order to,independent
been,ground,independent
new,russian,independent
live,total,independent
is,plan,independent
east coast,west coast,alternation
fish,line,other-related
give,time,independent
is being prepared,prepare,equivalence
show that,suggest that,other-related
education,service,independent
former president of,president of,alternation
are,live,independent
door,fire,independent
a kid,a man,alternation
information,police,independent
car,daughter,independent
windows,window,entailment
a plane,an airplane,equivalence
the authority,the state,entailment
language,second,independent
commission,presidency,independent
federal,minister,other-related
say,security,independent
form,full,independent
raise,shoot,independent
and table,table and,equivalence
chief,work,independent
core,use,independent
paper,piece,other-related
first,security,independent
liberia .,the liberian,entailment
children are,kid have,other-related
final,propose,independent
book about,"novel ,",equivalence
as many as,up to,equivalence
council,statement,independent
only,people,independent
case,relate,independent
"back ,",return to,other-related
first,principle,independent
playing,reading,independent
low,tall,alternation
brown,light brown,entailment
is a,to go,independent
day,official,independent
concern,notice,independent
post,service,other-related
ozone,the ozone layer,entailment
to establish,to a report,entailment
military,naval,entailment
the number,year,entailment
mother,the house,other-related
a vehicle,car,entailment
a suicide,suicide bomber,entailment
history,loss,independent
less than,more,alternation
announce,release,other-related
back,quickly,independent
lose,were,independent
perform,playing,equivalence
risk,take,other-related
a little kid,a boy,entailment
man,man 's,equivalence
the world,the environment,entailment
call,move,independent
effective,use,independent
foreign,iraq,entailment
sit down,stand,alternation
imprison,prison,other-related
little,the girl,other-related
away,way,alternation
a little,is no,independent
nobody is,person is,alternation
half,other,independent
action,program,independent
people,purpose,independent
gulf,mexico,other-related
face,first,independent
car,two car,entailment
delay,time,other-related
peace,protester,alternation
expand,level,independent
low,not,independent
make,speak,independent
day,start,independent
years,date,entailment
government,interest,independent
man and,woman and,alternation
expect to,plan to,equivalence
drop,have,independent
case,time,independent
figure,number of,equivalence
playing,ride,independent
coat,collar,entailment
cut,saw,entailment
first,the first day,entailment
kill,killing,equivalence
pack,sheep,independent
car,hand,independent
boards,tile,independent
over the,the past,independent
place in,were held,independent
are concerned,say,independent
back,twice,independent
half,week,independent
the federal,the federal government,entailment
department,last,independent
young,young girl,entailment
delegation,party,other-related
army,jenin,independent
the woman,the young lady,entailment
first,form,independent
agreement,measure,independent
last,third,other-related
hundred,hundred of people,entailment
an opponent,each other,other-related
widespread,most common,entailment
head,man,independent
back,point,independent
federal reserve,federal reserve chairman,entailment
council,eu,entailment
away from,out of the,other-related
hebron,israel,independent
the east,the east coast,entailment
locate,will be based,independent
a vehicle,a car,entailment
liberia,u.s.,alternation
action,the government,independent
determine,take,independent
raise,rise,equivalence
son,wife,alternation
is on,stand in,entailment
role,the part,equivalence
heard,was,independent
girl,his daughter,entailment
oppose,support,alternation
great,world,independent
air,bike,independent
waters,territorial waters,entailment
is n't,stand,independent
baby,the little,other-related
council,june,independent
to curb,to reduce,equivalence
been,reveal,independent
are looking at,look at,equivalence
palestinian leader,yasser arafat,entailment
champion,title,other-related
back,girl,independent
dead,his death,entailment
coin,euro,entailment
point,put,independent
bike,ride,other-related
the minister,this is,independent
life of,lose their life,entailment
% .,country .,independent
sun,the ground,independent
agency,watchdog,entailment
israeli,target,independent
emission,pollution,other-related
hold,take,independent
company,offer,independent
costs,level,independent
secretary of,secretary of state,entailment
the nobel,the nobel peace,entailment
service,"worker ,",other-related
call on,phone call,other-related
back,low,independent
soccer,team,other-related
reduce,safeguard,independent
board,the panel,equivalence
expect to,have,independent
been,cooperation,independent
affect the,impact on,equivalence
being played,to play,other-related
ozone,ozone layer,entailment
video,clip,entailment
is called,name,entailment
maritime,ferry,entailment
north atlantic,north atlantic treaty,entailment
evidence,school,independent
", allegedly",would be,independent
hold,state,independent
come,many,independent
expand it,increase it,equivalence
board,lead,independent
crime,mafia,other-related
black,white man,alternation
man,young,other-related
red,system,independent
bridge,offer,independent
competition,track,other-related
"a child ,",young child,entailment
place in,who have,independent
weapon,gun,entailment
demonstration,police,independent
u.s. military,soldier,entailment
as a result,has been,independent
boy,player,entailment
introduction,movement,independent
job,week,independent
council,school,other-related
election,november,other-related
day,open,independent
"trip ,",air travel,entailment
're,is,independent
are,chance,independent
communications,research,independent
hostage,russian,independent
friday,saturday,alternation
is performing,playing,entailment
face,trial,other-related
take,was a,independent
army,guerrilla,other-related
day,"friday ,",entailment
a police,a police station,entailment
a man,the boy,alternation
the attack,invasion,entailment
benefit,security,independent
lapse,take,independent
services,such,independent
has been condemned,was convicted,equivalence
colombia,colombian,other-related
go,work,independent
no one,someone,alternation
look,say,independent
is driving,the driver,entailment
leave,start,independent
president,society,independent
car,kill,independent
argue,set,independent
background,light,other-related
stick,sugar,independent
ruin,break,entailment
foreign,european,entailment
the chance to,the opportunity,equivalence
back,black,independent
race,swimmer,other-related
party,salvador,independent
woman,a young woman,entailment
citizen,eu,independent
office,unite,independent
u.s.,military,entailment
employ,work,other-related
senior,strong,independent
israeli,official,other-related
tax,payroll tax,entailment
business,citizenship,independent
government,operations,other-related
china,renminbi,independent
commission,society,independent
job,people,independent
train,use to,other-related
bike,biker,other-related
world championship,"world cup ,",entailment
cause,virus,independent
a case,the time,independent
euro,single,independent
defend,champion,entailment
expect to,make the,independent
girl,young girl,entailment
magician,trick,other-related
begin,conference,independent
government,spending,independent
city,military,independent
boy is,little boy,entailment
a family,kid,other-related
cash,fund,other-related
protect the,the protection of,other-related
boat,shore,other-related
the north,treaty organization,independent
a group,gather,other-related
kill,were injured,other-related
to stop the,deter the,entailment
company,new,independent
toxic,pollution,entailment
been,oppose,independent
accident,fire,other-related
topic,work,independent
member state of,state in the,entailment
main,role,independent
a path,road,equivalence
agency,purchase,independent
peace,role,independent
measure,number,entailment
motorbike,track,independent
sydney,the olympic game,other-related
constitution and,new constitution,independent
case of,important to,independent
radio say,israel radio say,entailment
explode .,bomb explode,entailment
remain,rise,independent
leave,look,independent
male,buck,entailment
left,n't,independent
stick,very,independent
lake,river,alternation
factual,specific,independent
commissioner,statement,independent
meat,steak,entailment
game,match,equivalence
secretary of,of state,entailment
dress,run,independent
cyprus,peace,independent
single,up,independent
review,top,independent
australia,australian,entailment
hold,way,independent
push,say,independent
eat,make,independent
play,throw,independent
budget,house,other-related
find,form,independent
far,little,independent
carry out,out in,independent
inquiry,need,independent
bride,little,independent
hose,water,other-related
company,mitsubishi,entailment
are not,field of,independent
man,the woods,independent
governor,manage,other-related
"man ,",man in,independent
become,hit,independent
go,come out,entailment
press,report,other-related
sink,wreck,other-related
japan,the u.s.,alternation
protect the,protection of,other-related
coast of,west coast of,entailment
", say",was confirmed,independent
query,question,equivalence
baby,word,independent
coast of,sea of,entailment
george bush,u.s.,other-related
air,american,independent
is a,member of,independent
employ,people,independent
seat,standing,alternation
drug,place,independent
india,part,independent
to reduce,to reducing,equivalence
company,stocks,other-related
to conserve,to protect,equivalence
active,more,independent
have,own,equivalence
director,secretary,independent
home,stage,independent
national,political,other-related
aircraft,airplane,entailment
family,services,independent
report,world,independent
newspaper,report,entailment
of the world,on earth,equivalence
century,history,independent
many,well,independent
's disease,disease,equivalence
to kill,kill the,entailment
is,well,independent
invent,was,independent
country,member country,entailment
arrive,top,independent
citizen,european citizen,entailment
net,record,other-related
agency,government,other-related
the loss,their life,independent
war .,iraq .,entailment
eu,the european union,equivalence
appoint,justice,other-related
container,pool,entailment
other,the same,alternation
people,a few people,entailment
think,top,independent
branch,force,independent
of win,win over,other-related
"""",good,independent
is a,type of,entailment
health,university,independent
place,system,independent
baseball,major,independent
fire,bonfire,entailment
new,philadelphia,independent
life,water,other-related
a bottle,drunk,independent
competition,run,entailment
officer,were,independent
attempt to,bid to,independent
commissioner,john,independent
the gulf,the 1991 gulf,entailment
view of,is looking,entailment
company,delivery,other-related
council,france,other-related
air,oversight,independent
share,year,independent
foreign,israel,independent
girl,teenage,other-related
beer,man,other-related
the un,the unite,independent
china was,of china 's,other-related
price,production,other-related
injure by,were wounded,other-related
damage,injure,equivalence
the phone,phone call,entailment
counterterrorism,terrorist,alternation
increase,undertake,independent
build,headquarters,independent
", is",is playing,independent
demand,try,independent
microsoft 's,microsoft corp.,entailment
little boy,little girl,alternation
"arafat ,",yasser arafat .,entailment
the jet,the plane,entailment
have already,is the,independent
feel,rise,independent
is,years,independent
the man,young man,entailment
fill,full,other-related
establish,the foundation,other-related
new,support,independent
justice,the court 's,other-related
hospital,palestinian,independent
activity,impact,independent
advanced,large,independent
friday,friday 's,other-related
commission,family,independent
people,weeks,independent
fuel,help,independent
have,liberty,independent
will succeed,win,entailment
are,react,independent
china,ship,independent
headquarter,headquarters,equivalence
court,person,independent
cup,world,other-related
chance to get,chance to make,other-related
single currency,single european currency,entailment
amsterdam,union,independent
council of,president of,other-related
intake,metabolism,independent
and is,and is playing,other-related
shiite,sunni,other-related
%,today,independent
key,school,independent
south,unite,independent
country,italy,entailment
bite,eat,other-related
the bank,the world,independent
cap,hair,other-related
motorcycle,track,other-related
bring,end,independent
jersey,n.j.,entailment
more,pay more,entailment
drug,drug and,equivalence
early,interim,independent
are,eligible,independent
follow,many,independent
class,student,other-related
elect,parliament,other-related
people,total population,entailment
been,say,independent
ago,rather,independent
three people,three man,entailment
palestinian,the palestinian,entailment
a lot of,there are,independent
term,label,entailment
stairs,top,entailment
sector,services,independent
early,home,independent
measure,the government,independent
measure,preventive measure,entailment
a horse,ride,other-related
"field ,",property .,independent
is under,under way,other-related
government,the administration,other-related
daughter,father,alternation
computer,dell,entailment
branch,stick,entailment
john,nine,independent
possible to,use to,independent
suggest,were,independent
live,only,independent
a child is,kid is,equivalence
have set,was,independent
morning,sit,independent
a woman,woman with,other-related
back,woman,independent
have,live,independent
black,car,independent
died and,were injured,other-related
have,occurs,independent
kill in,was shot,other-related
service,assistance,entailment
the first,the start,other-related
attempt,try to,equivalence
awaken,wake,equivalence
-,world,independent
carry out,kill,independent
presidency of,to hold,independent
high,small,independent
director,programme,independent
british,indian,alternation
fall,stand,alternation
regard,the world,independent
failure to,refuse to,independent
big,small,alternation
hold a,carry a,entailment
death toll,people,independent
huge,large,equivalence
is opening,to open,other-related
important,nearby,independent
election,place,independent
new,north,independent
high,more than,other-related
payroll,social,independent
shot him,was shot,other-related
parliament,report,independent
overall,years,independent
the government have,the government take,other-related
oil,water,alternation
inflation,price,other-related
albeit,more,independent
earth,sea,entailment
floor,man,independent
the water,lake,entailment
living,spot,independent
trip,air travel,entailment
take part in,to join,equivalence
sing,singer,other-related
request,u.s.,independent
past,report,independent
government,stand,independent
able,up,independent
man,model,entailment
offer,the deal,entailment
commission,have,independent
report,use,independent
car,man,independent
help,plea,equivalence
talks,peace talks,entailment
eu,only,independent
out,window,independent
award,nomination,other-related
political,leaders,entailment
commission,complaint commission,entailment
car,trunk,entailment
again,second,other-related
bishop,father,independent
market,say,independent
caribbean,island,other-related
game,olympic game,entailment
family,home,other-related
number of,several,other-related
accord to,relate to,independent
the play,theatre,other-related
being,clean,independent
be possible,make,independent
death,kill,other-related
bush,terrorism,independent
group of,pack of,entailment
bond,le,independent
microsoft,windows,other-related
administration,sale,independent
front,full,independent
director,general,independent
operation,stop,independent
political,statesman,entailment
more,world,independent
kidnap,was,independent
place in,take place in,other-related
patrol,policeman,entailment
of basra,city of basra,entailment
kid,the young,equivalence
person,were injured,independent
level,news,independent
state .,member state,entailment
technology,world,independent
revenue,year,independent
conditions,weather,other-related
force,france,independent
last,member,independent
bird flu,influenza,other-related
help by,is helping,other-related
this year,un,independent
health care,home,independent
committee,government,entailment
"""",member,independent
ago .,years ago .,entailment
walk,woman,independent
insurgent,rebel,equivalence
try,use,independent
for the protection,to protect,equivalence
arm,army,independent
are in,locate,independent
long,sad,independent
as a,picture of,independent
house in,in front of,independent
's son,son and,other-related
army in,soldiers are,entailment
ground,sand,entailment
mobile,mobile phone,equivalence
big,living,independent
guy,another guy,entailment
benefit,canada 's,independent
athens,the olympic game,other-related
council,germany,independent
identified,were,independent
year,year 's,equivalence
dance,rock,alternation
epidemic,polio,entailment
have,suffer,entailment
pollution,smoke,entailment
bring,renew,other-related
live in,they are,independent
motivate,own,independent
european,june,independent
city,west,independent
", carry","on board ,",other-related
the young,the young man,entailment
world,environment,entailment
is,view,independent
health,health care services,entailment
bit,still,independent
euro,foreign,other-related
things,people,entailment
britain,iran,alternation
the disease,polio,entailment
fire,woods,other-related
important,political,independent
represent in,representation,other-related
hard,standing,independent
israeli,town,independent
cover,make,independent
is n't,went,independent
front,gathering,independent
man,position,independent
personnel,services,other-related
an old man,young man,alternation
arrest,police,other-related
agree to,reach between,independent
evidence,life,independent
area,parts,entailment
have a,people are,independent
review,to consider,equivalence
nation,the unite nation,entailment
review,state,independent
department,new,independent
officer,police officer,entailment
european,second,independent
many,short,alternation
minister,presidential,other-related
cooperation,monitoring,independent
no.,set,independent
actually,have,independent
road,were,independent
fight,man,independent
president,yesterday,independent
economic and monetary,european monetary,entailment
france,part,independent
's,the world,independent
monitoring,network,independent
minister,sharon,independent
cards,identity cards,entailment
fast,quickly,equivalence
couple,marriage,other-related
alone,empty,independent
bill,require,independent
from the board,from the panel,equivalence
blow,is blowing,other-related
military,state,independent
different,union,independent
new,not,independent
answer,question,alternation
coast,the east,entailment
control,government,other-related
close,drill,independent
have,team,independent
art,part,independent
council,follows,independent
child,father,alternation
rock,rolling,other-related
advantage .,advantage over,other-related
africa,nigeria,entailment
bicycle,the bike,equivalence
israel,need,independent
a road,the street,entailment
committee,today,independent
a play,play,equivalence
u.s.,the us military,entailment
benefit,drug,independent
give them,set,independent
run,the race,other-related
iran 's,saturday,independent
zone,station,entailment
pin,restrain,entailment
a lady,a woman,equivalence
being handled,handle,alternation
implement,measure,independent
home,period,independent
raise,standing,independent
the water,the pool,entailment
huge,massive,entailment
say,order,entailment
terror attack,terrorist attack in,entailment
be based,locate,independent
have,study,independent
western,european,entailment
government,pollution,independent
have,rates,independent
hand,number,independent
baghdad,wound,independent
case,issue to,independent
european,union,independent
election,parliamentary,other-related
two people,man,entailment
asian,many,independent
sex,man and woman,entailment
ride,the horse,other-related
character,the role,equivalence
boat,waters,independent
government,hong kong,other-related
force,seize,other-related
have cause,was a,independent
return,would be,independent
apt,likely,equivalence
a long,a widespread,entailment
are,wind,independent
air,track,independent
the olympic,"olympic game ,",entailment
hand,job,independent
us president,w. bush,entailment
say,south,independent
a group,camera,independent
air,the water,alternation
large,many,independent
's performance,performance,equivalence
device,telephone,entailment
two group,two team,equivalence
been,pass,independent
air,ramp,independent
expect,have,independent
former,the last,entailment
the man,father,entailment
is spreading,spread,equivalence
stuff,toy,entailment
govern,iraq,other-related
american,u.s.,entailment
create,first,independent
date,member,independent
iraq,offensive,other-related
short,very,independent
kofi,secretary-general,other-related
news,set,independent
king,lord,equivalence
rain,snow,alternation
field,lawn,entailment
executive,under,independent
dance,is playing,other-related
currency,end,independent
gathering,sit,independent
line,software,independent
month,people,independent
back,early,independent
april,euro,independent
deadline,order,independent
competition,race,entailment
canada,help,independent
building of,construction .,equivalence
u.s.,us troop,entailment
pipeline,study,independent
a man 's,the man,entailment
act,spot,independent
bush,president bush,entailment
food,volume,independent
out in,part of the,independent
is,today,independent
distant,sea,independent
large,light,independent
"young ,",young woman,entailment
are looking,are standing,independent
official,thursday,independent
person,ship,independent
organization,u.n.,entailment
ask,was,independent
dan,give,independent
iraqi military,iraqi soldier,entailment
state,netherlands,entailment
is doing,is driving,entailment
kid,wind,independent
is doing,is having,other-related
the side,the left,entailment
heavily,many,alternation
costs,say,independent
lose their,people lose,entailment
france,international,entailment
military,troops,other-related
country,sweden,entailment
leader,party,independent
place,church,entailment
as president,the presidency of,equivalence
field,run,other-related
pizza,cheese,entailment
french,official,independent
move,play,entailment
government,people,independent
earth,point,independent
treaty,nato,entailment
be possible,use,independent
japanese,year,independent
new,record,independent
been,locate,independent
official,political leaders,other-related
seize,take,equivalence
board,have,independent
asia,terror,independent
the council,the president,independent
failure,place,independent
measure,order,independent
protect the,protection,other-related
official,spokesman,entailment
come,have,independent
china,trip,other-related
can be,possibility of,equivalence
ground,the sun,independent
is setting up,set up,equivalence
say,terrorism,independent
staging,stop,independent
line,revenue,independent
convention,effective,independent
plant,refinery,entailment
a newspaper,newspaper,equivalence
agree,have,independent
area,waters,independent
condemn,convict,other-related
great,relative,independent
kid,a teenager,entailment
jewish,palestinian,independent
the company,the year,independent
move,rise,entailment
case,number,other-related
less,likely,independent
have,send,independent
athens,greek,other-related
an employee,official,entailment
european,system,independent
windows,a window,entailment
expect,say,independent
tattoo,woman,independent
head,chief,entailment
a government,the federal,other-related
energy,fuel,entailment
management,pacific,independent
early,early-warning,entailment
have,the case,independent
pilot,pilot 's,other-related
people .,civilian .,entailment
the unite,u.s.,other-related
a member of,a representative of,entailment
iraq,state,independent
big,building,independent
grass,high,independent
business,measure,independent
a bike,the bicycle,equivalence
base,body,independent
estimate,number,entailment
state in,state,entailment
open,past,independent
family,man,entailment
