truth,hypothesis,majority_label
piece,woman,independent
jump,trick,independent
sir,sock,independent
standing,watch,independent
film,works,independent
been,fill,independent
developed,research,independent
amendment,say,independent
law,testing,independent
kurd,kurdish,other-related
say,state,independent
at the time,was,synonym
recovery,salvage,synonym
military,time,other-related
commission,expert,independent
child,little boy,hypernym
commission,minister,independent
compare to,up to,independent
effort,measure,independent
chance to,good chance,hypernym
compact,instrument,independent
laurent,president,independent
social,tax,hyponym
being made,is making a,synonym
air,operations,independent
people,young people,hypernym
act,living,independent
are,local,independent
carry a,hold by,alternation
a chinese,china,hyponym
stage,stand,independent
many,the number of,other-related
general,strong,independent
again,night,independent
ground,increase,independent
there is,"yes ,",independent
a large,no small,hyponym
rally,track,other-related
actor,lead,hyponym
line,race,other-related
ioc,olympic,other-related
pick,take,synonym
costs,travel,independent
environmentally responsible,environmentally sound,other-related
virtual,virtual reality,hypernym
international,the international community,hypernym
a kid,young,alternation
three child,three kid,synonym
mr.,was,independent
day,run,independent
language,support,independent
and later,then,synonym
launch,was,independent
construction,work,hyponym
future,government,independent
east timor 's,timor,hyponym
mobile,phone,hyponym
digital,figure,independent
east timor,timor,hyponym
's work,work from,other-related
court,superior,hypernym
kofi annan,secretary-general kofi annan,hypernym
cancer,survival,other-related
cause,do,hyponym
eggs,the egg,hypernym
", was",was elected,hypernym
camera,red,independent
victory,won,other-related
give,set,independent
leader,palestinian,independent
the building,the space,hyponym
pedestrian,people,hyponym
the council,the eu,independent
talks,the six-party talks,hypernym
cast,vote,hyponym
bed,cat,independent
order,police,other-related
is n't,make,independent
cell,network,other-related
not,table,independent
become,will be,synonym
dirty,meat,independent
morning,sunday,other-related
"""",show,independent
attempt to,try,synonym
golf,tennis,alternation
israeli settler,settler,hyponym
on terror,on terrorism,synonym
become,treat,independent
the eu,there are,independent
face the,is in,independent
florida,the state,hyponym
have,missing,independent
boy,young girl,antonym
play,sit,independent
good,interest,independent
paper,write,other-related
coat and,jacket and,synonym
day,person,independent
hold by,is holding,other-related
international,nuclear,alternation
lot,road,independent
a man is,the man 's,hypernym
car,money,independent
give,help,hyponym
communication,march,independent
agency,release,independent
hiv,people,independent
pavement,walk,other-related
kid,the boy,hypernym
is the,is the european,hypernym
are,watch,independent
pilot 's,the pilot,synonym
right,something,independent
monument,stone,other-related
office,statement,independent
is doing,who is,independent
associate,report,independent
china,province,other-related
dead,still,independent
hold,show,independent
are located,stand,hypernym
%,loss,independent
kill,victim,other-related
play,soccer,hypernym
chance to,opportunity to,hypernym
favorite,good,independent
have,notice,independent
play a,play the,other-related
background,open,independent
hands,man,hyponym
cia,intelligence,hyponym
begin,take,independent
support of the,support the,synonym
death,man,independent
joining the,member of,other-related
fine,more,independent
project,propose,independent
die in,life in,antonym
the top,up the,independent
europe .,the european,hypernym
government,government agency,hypernym
man,nobody,other-related
patient,people,independent
is playing,to play,other-related
round,shoot,other-related
dress,painted,independent
installation,new,independent
mother,visit,other-related
health,health care,hypernym
eu,europe,other-related
a member,partner,hypernym
asia,organization,independent
child,the house,independent
computer,server,other-related
climb,run,independent
die,say,independent
north,pact,hyponym
a little,little boy,independent
black,grey,other-related
member,union,other-related
provide,system,independent
recruit,soldier,hypernym
administration 's,government as,hyponym
by anyone,by someone,hypernym
ngo,organisation,hyponym
cat,the man,alternation
headquarters,wing,independent
", are",", report",independent
hall,library,other-related
government,process,independent
fruit and vegetable,vegetable,hypernym
policy,say,independent
is looking,is watching,synonym
attack,soldier,other-related
tell,work,independent
back,corps,independent
bank,banking,hypernym
black,vehicle,independent
ocean,the shore,other-related
have,schedule,independent
a boy,the kid,hyponym
hong kong,taiwan,alternation
construction worker,workers are,hyponym
administration,drug,independent
many,years,other-related
boy,up,independent
the study,the subject,other-related
video,video game,hypernym
leg,party,independent
human,the world,alternation
norway,norwegian,hypernym
set,use,independent
grey,soft,independent
foreign national,national,hyponym
china,military,other-related
european,man,hyponym
career .,lifetime .,hyponym
lose,weaken,other-related
bank,plan,independent
european,goal,independent
homeopathic,homeopathy,synonym
the little girl,the small,hyponym
as prime,prime minister,independent
continue,new,independent
friday,unite,independent
somebody is,someone is,synonym
snake,the snake,hypernym
child,rest,independent
soldier,uk,independent
member,other,independent
police,u.s.,independent
do,laugh,independent
dirt,grass,independent
jerusalem city,of jerusalem,other-related
take,to take,synonym
du,film,independent
palestinians are,the palestinian,other-related
dirt,right,independent
was killed by,was shot,other-related
participation,take part in,synonym
accession,tuesday,independent
state,unite state,hypernym
leave the,out of,other-related
rock,rocky,hyponym
agency,head,other-related
require,train,independent
a man,another man,hypernym
president,sign,independent
political,provide,independent
break,move,independent
the chance,the opportunity,synonym
construction of,under construction,other-related
is being,is following,independent
crashed,were,independent
is over,period,independent
door,man,independent
girl,seat,independent
minister,trade,other-related
risk to,threat to the,synonym
organization,system,independent
matter,soil,hypernym
are trained,training is,other-related
baghdad,force,independent
funny,off,independent
car,parking,other-related
in effort,in order,independent
daily,today,hypernym
iraq 's,iraqi,synonym
company,percent,independent
dance,dancer,other-related
dog,show,other-related
help,prevent,independent
go to,schedule,independent
minister,soviet,other-related
the winner,win,other-related
band,boy,independent
further,general,independent
aim of,order to,independent
been,ground,independent
new,russian,independent
live,total,independent
is,plan,independent
east coast,west coast,antonym
fish,line,other-related
give,time,independent
is being prepared,prepare,synonym
show that,suggest that,other-related
education,service,independent
former president of,president of,alternation
are,live,independent
door,fire,independent
a kid,a man,alternation
information,police,independent
car,daughter,independent
window,windows,hyponym
a plane,an airplane,synonym
the authority,the state,hypernym
language,second,independent
commission,presidency,independent
federal,minister,other-related
say,security,independent
form,full,independent
raise,shoot,independent
and table,table and,synonym
chief,work,independent
core,use,independent
paper,piece,other-related
first,security,independent
liberia .,the liberian,hypernym
children are,kid have,other-related
final,propose,independent
book about,"novel ,",synonym
as many as,up to,synonym
council,statement,independent
only,people,independent
case,relate,independent
"back ,",return to,other-related
first,principle,independent
playing,reading,independent
low,tall,antonym
brown,light brown,hypernym
is a,to go,independent
day,official,independent
concern,notice,independent
post,service,other-related
ozone,the ozone layer,hypernym
to a report,to establish,hyponym
military,naval,hypernym
the number,year,hypernym
mother,the house,other-related
a vehicle,car,hypernym
a suicide,suicide bomber,hypernym
history,loss,independent
less than,more,antonym
announce,release,other-related
back,quickly,independent
lose,were,independent
perform,playing,synonym
risk,take,other-related
a boy,a little kid,hyponym
man,man 's,synonym
the environment,the world,hyponym
call,move,independent
effective,use,independent
foreign,iraq,hypernym
sit down,stand,antonym
imprison,prison,other-related
little,the girl,other-related
away,way,alternation
a little,is no,independent
nobody is,person is,antonym
half,other,independent
action,program,independent
people,purpose,independent
gulf,mexico,other-related
face,first,independent
car,two car,hypernym
delay,time,other-related
peace,protester,alternation
expand,level,independent
low,not,independent
make,speak,independent
day,start,independent
date,years,hyponym
government,interest,independent
man and,woman and,antonym
expect to,plan to,synonym
drop,have,independent
case,time,independent
figure,number of,synonym
playing,ride,independent
coat,collar,hypernym
cut,saw,hypernym
first,the first day,hypernym
kill,killing,synonym
pack,sheep,independent
car,hand,independent
boards,tile,independent
over the,the past,independent
place in,were held,independent
are concerned,say,independent
back,twice,independent
half,week,independent
the federal,the federal government,hypernym
department,last,independent
young,young girl,hypernym
delegation,party,other-related
army,jenin,independent
the woman,the young lady,hypernym
first,form,independent
agreement,measure,independent
last,third,other-related
hundred,hundred of people,hypernym
an opponent,each other,other-related
most common,widespread,hyponym
head,man,independent
back,point,independent
federal reserve,federal reserve chairman,hypernym
council,eu,hypernym
away from,out of the,other-related
hebron,israel,independent
the east,the east coast,hypernym
locate,will be based,independent
a car,a vehicle,hyponym
liberia,u.s.,alternation
action,the government,independent
determine,take,independent
raise,rise,synonym
son,wife,alternation
is on,stand in,hypernym
role,the part,synonym
heard,was,independent
girl,his daughter,hypernym
oppose,support,antonym
great,world,independent
air,bike,independent
territorial waters,waters,hyponym
is n't,stand,independent
baby,the little,other-related
council,june,independent
to curb,to reduce,synonym
been,reveal,independent
are looking at,look at,synonym
palestinian leader,yasser arafat,hypernym
champion,title,other-related
back,girl,independent
dead,his death,hypernym
coin,euro,hypernym
point,put,independent
bike,ride,other-related
the minister,this is,independent
life of,lose their life,hypernym
% .,country .,independent
sun,the ground,independent
agency,watchdog,hypernym
israeli,target,independent
emission,pollution,other-related
hold,take,independent
company,offer,independent
costs,level,independent
secretary of,secretary of state,hypernym
the nobel,the nobel peace,hypernym
service,"worker ,",other-related
call on,phone call,other-related
back,low,independent
soccer,team,other-related
reduce,safeguard,independent
board,the panel,synonym
expect to,have,independent
been,cooperation,independent
affect the,impact on,synonym
being played,to play,other-related
ozone,ozone layer,hypernym
clip,video,hyponym
is called,name,hypernym
ferry,maritime,hyponym
north atlantic,north atlantic treaty,hypernym
evidence,school,independent
", allegedly",would be,independent
hold,state,independent
come,many,independent
expand it,increase it,synonym
board,lead,independent
crime,mafia,other-related
black,white man,alternation
man,young,other-related
red,system,independent
bridge,offer,independent
competition,track,other-related
"a child ,",young child,hypernym
place in,who have,independent
gun,weapon,hyponym
demonstration,police,independent
soldier,u.s. military,hyponym
as a result,has been,independent
boy,player,hypernym
introduction,movement,independent
job,week,independent
council,school,other-related
election,november,other-related
day,open,independent
air travel,"trip ,",hyponym
're,is,independent
are,chance,independent
communications,research,independent
hostage,russian,independent
friday,saturday,alternation
is performing,playing,hypernym
face,trial,other-related
take,was a,independent
army,guerrilla,other-related
day,"friday ,",hypernym
a police,a police station,hypernym
a man,the boy,antonym
invasion,the attack,hyponym
benefit,security,independent
lapse,take,independent
services,such,independent
has been condemned,was convicted,synonym
colombia,colombian,other-related
go,work,independent
no one,someone,antonym
look,say,independent
is driving,the driver,hypernym
leave,start,independent
president,society,independent
car,kill,independent
argue,set,independent
background,light,other-related
stick,sugar,independent
break,ruin,hyponym
european,foreign,hyponym
the chance to,the opportunity,synonym
back,black,independent
race,swimmer,other-related
party,salvador,independent
a young woman,woman,hyponym
citizen,eu,independent
office,unite,independent
military,u.s.,hyponym
employ,work,other-related
senior,strong,independent
israeli,official,other-related
payroll tax,tax,hyponym
business,citizenship,independent
government,operations,other-related
china,renminbi,independent
commission,society,independent
job,people,independent
train,use to,other-related
bike,biker,other-related
world championship,"world cup ,",hypernym
cause,virus,independent
a case,the time,independent
euro,single,independent
champion,defend,hyponym
expect to,make the,independent
girl,young girl,hypernym
magician,trick,other-related
begin,conference,independent
government,spending,independent
city,military,independent
boy is,little boy,hypernym
a family,kid,other-related
cash,fund,other-related
protect the,the protection of,other-related
boat,shore,other-related
the north,treaty organization,independent
a group,gather,other-related
kill,were injured,other-related
deter the,to stop the,hyponym
company,new,independent
pollution,toxic,hyponym
been,oppose,independent
accident,fire,other-related
topic,work,independent
member state of,state in the,hypernym
main,role,independent
a path,road,synonym
agency,purchase,independent
peace,role,independent
measure,number,hypernym
motorbike,track,independent
sydney,the olympic game,other-related
constitution and,new constitution,independent
case of,important to,independent
israel radio say,radio say,hyponym
bomb explode,explode .,hyponym
remain,rise,independent
leave,look,independent
buck,male,hyponym
left,n't,independent
stick,very,independent
lake,river,alternation
factual,specific,independent
commissioner,statement,independent
meat,steak,hypernym
game,match,synonym
of state,secretary of,hyponym
dress,run,independent
cyprus,peace,independent
single,up,independent
review,top,independent
australia,australian,hypernym
hold,way,independent
push,say,independent
eat,make,independent
play,throw,independent
budget,house,other-related
find,form,independent
far,little,independent
carry out,out in,independent
inquiry,need,independent
bride,little,independent
hose,water,other-related
company,mitsubishi,hypernym
are not,field of,independent
man,the woods,independent
governor,manage,other-related
"man ,",man in,independent
become,hit,independent
come out,go,hyponym
press,report,other-related
sink,wreck,other-related
japan,the u.s.,alternation
protect the,protection of,other-related
coast of,west coast of,hypernym
", say",was confirmed,independent
query,question,synonym
baby,word,independent
coast of,sea of,hypernym
george bush,u.s.,other-related
air,american,independent
is a,member of,independent
employ,people,independent
seat,standing,antonym
drug,place,independent
india,part,independent
to reduce,to reducing,synonym
company,stocks,other-related
to conserve,to protect,synonym
active,more,independent
have,own,synonym
director,secretary,independent
home,stage,independent
national,political,other-related
aircraft,airplane,hypernym
family,services,independent
report,world,independent
newspaper,report,hypernym
of the world,on earth,synonym
century,history,independent
many,well,independent
's disease,disease,synonym
kill the,to kill,hyponym
is,well,independent
invent,was,independent
country,member country,hypernym
arrive,top,independent
citizen,european citizen,hypernym
net,record,other-related
agency,government,other-related
the loss,their life,independent
iraq .,war .,hyponym
eu,the european union,synonym
appoint,justice,other-related
container,pool,hypernym
other,the same,antonym
a few people,people,hyponym
think,top,independent
branch,force,independent
of win,win over,other-related
"""",good,independent
is a,type of,hypernym
health,university,independent
place,system,independent
baseball,major,independent
bonfire,fire,hyponym
new,philadelphia,independent
life,water,other-related
a bottle,drunk,independent
competition,run,hypernym
officer,were,independent
attempt to,bid to,independent
commissioner,john,independent
the 1991 gulf,the gulf,hyponym
is looking,view of,hyponym
company,delivery,other-related
council,france,other-related
air,oversight,independent
share,year,independent
foreign,israel,independent
girl,teenage,other-related
beer,man,other-related
the un,the unite,independent
china was,of china 's,other-related
price,production,other-related
injure by,were wounded,other-related
damage,injure,synonym
phone call,the phone,hyponym
counterterrorism,terrorist,antonym
increase,undertake,independent
build,headquarters,independent
", is",is playing,independent
demand,try,independent
microsoft 's,microsoft corp.,hypernym
little boy,little girl,antonym
"arafat ,",yasser arafat .,hypernym
the jet,the plane,hypernym
have already,is the,independent
feel,rise,independent
is,years,independent
the man,young man,hypernym
fill,full,other-related
establish,the foundation,other-related
new,support,independent
justice,the court 's,other-related
hospital,palestinian,independent
activity,impact,independent
advanced,large,independent
friday,friday 's,other-related
commission,family,independent
people,weeks,independent
fuel,help,independent
have,liberty,independent
will succeed,win,hypernym
are,react,independent
china,ship,independent
headquarter,headquarters,synonym
court,person,independent
cup,world,other-related
chance to get,chance to make,other-related
single currency,single european currency,hypernym
amsterdam,union,independent
council of,president of,other-related
intake,metabolism,independent
and is,and is playing,other-related
shiite,sunni,other-related
%,today,independent
key,school,independent
south,unite,independent
country,italy,hypernym
bite,eat,other-related
the bank,the world,independent
cap,hair,other-related
motorcycle,track,other-related
bring,end,independent
jersey,n.j.,hypernym
more,pay more,hypernym
drug,drug and,synonym
early,interim,independent
are,eligible,independent
follow,many,independent
class,student,other-related
elect,parliament,other-related
people,total population,hypernym
been,say,independent
ago,rather,independent
three man,three people,hyponym
palestinian,the palestinian,hypernym
a lot of,there are,independent
label,term,hyponym
stairs,top,hypernym
sector,services,independent
early,home,independent
measure,the government,independent
measure,preventive measure,hypernym
a horse,ride,other-related
"field ,",property .,independent
is under,under way,other-related
government,the administration,other-related
daughter,father,alternation
computer,dell,hypernym
branch,stick,hypernym
john,nine,independent
possible to,use to,independent
suggest,were,independent
live,only,independent
a child is,kid is,synonym
have set,was,independent
morning,sit,independent
a woman,woman with,other-related
back,woman,independent
have,live,independent
black,car,independent
died and,were injured,other-related
have,occurs,independent
kill in,was shot,other-related
assistance,service,hyponym
the first,the start,other-related
attempt,try to,synonym
awaken,wake,synonym
-,world,independent
carry out,kill,independent
presidency of,to hold,independent
high,small,independent
director,programme,independent
british,indian,alternation
fall,stand,alternation
regard,the world,independent
failure to,refuse to,independent
big,small,antonym
carry a,hold a,hyponym
death toll,people,independent
huge,large,synonym
is opening,to open,other-related
important,nearby,independent
election,place,independent
new,north,independent
high,more than,other-related
payroll,social,independent
shot him,was shot,other-related
parliament,report,independent
overall,years,independent
the government have,the government take,other-related
oil,water,antonym
inflation,price,other-related
albeit,more,independent
earth,sea,hypernym
floor,man,independent
lake,the water,hyponym
living,spot,independent
air travel,trip,hyponym
take part in,to join,synonym
sing,singer,other-related
request,u.s.,independent
past,report,independent
government,stand,independent
able,up,independent
man,model,hypernym
offer,the deal,hypernym
commission,have,independent
report,use,independent
car,man,independent
help,plea,synonym
peace talks,talks,hyponym
eu,only,independent
out,window,independent
award,nomination,other-related
leaders,political,hyponym
commission,complaint commission,hypernym
car,trunk,hypernym
again,second,other-related
bishop,father,independent
market,say,independent
caribbean,island,other-related
game,olympic game,hypernym
family,home,other-related
number of,several,other-related
accord to,relate to,independent
the play,theatre,other-related
being,clean,independent
be possible,make,independent
death,kill,other-related
bush,terrorism,independent
group of,pack of,hypernym
bond,le,independent
microsoft,windows,other-related
administration,sale,independent
front,full,independent
director,general,independent
operation,stop,independent
political,statesman,hypernym
more,world,independent
kidnap,was,independent
place in,take place in,other-related
patrol,policeman,hypernym
city of basra,of basra,hyponym
kid,the young,synonym
person,were injured,independent
level,news,independent
member state,state .,hyponym
technology,world,independent
revenue,year,independent
conditions,weather,other-related
force,france,independent
last,member,independent
bird flu,influenza,other-related
help by,is helping,other-related
this year,un,independent
health care,home,independent
committee,government,hypernym
"""",member,independent
ago .,years ago .,hypernym
walk,woman,independent
insurgent,rebel,synonym
try,use,independent
for the protection,to protect,synonym
arm,army,independent
are in,locate,independent
long,sad,independent
as a,picture of,independent
house in,in front of,independent
's son,son and,other-related
army in,soldiers are,hypernym
ground,sand,hypernym
mobile,mobile phone,synonym
big,living,independent
another guy,guy,hyponym
benefit,canada 's,independent
athens,the olympic game,other-related
council,germany,independent
identified,were,independent
year,year 's,synonym
dance,rock,alternation
epidemic,polio,hypernym
have,suffer,hypernym
pollution,smoke,hypernym
bring,renew,other-related
live in,they are,independent
motivate,own,independent
european,june,independent
city,west,independent
", carry","on board ,",other-related
the young,the young man,hypernym
environment,world,hyponym
is,view,independent
health,health care services,hypernym
bit,still,independent
euro,foreign,other-related
people,things,hyponym
britain,iran,alternation
polio,the disease,hyponym
fire,woods,other-related
important,political,independent
represent in,representation,other-related
hard,standing,independent
israeli,town,independent
cover,make,independent
is n't,went,independent
front,gathering,independent
man,position,independent
personnel,services,other-related
an old man,young man,antonym
arrest,police,other-related
agree to,reach between,independent
evidence,life,independent
area,parts,hypernym
have a,people are,independent
review,to consider,synonym
nation,the unite nation,hypernym
review,state,independent
department,new,independent
officer,police officer,hypernym
european,second,independent
many,short,antonym
minister,presidential,other-related
cooperation,monitoring,independent
no.,set,independent
actually,have,independent
road,were,independent
fight,man,independent
president,yesterday,independent
economic and monetary,european monetary,hypernym
france,part,independent
's,the world,independent
monitoring,network,independent
minister,sharon,independent
cards,identity cards,hypernym
fast,quickly,synonym
couple,marriage,other-related
alone,empty,independent
bill,require,independent
from the board,from the panel,synonym
blow,is blowing,other-related
military,state,independent
different,union,independent
new,not,independent
answer,question,antonym
coast,the east,hypernym
control,government,other-related
close,drill,independent
have,team,independent
art,part,independent
council,follows,independent
child,father,alternation
rock,rolling,other-related
advantage .,advantage over,other-related
africa,nigeria,hypernym
bicycle,the bike,synonym
israel,need,independent
a road,the street,hypernym
committee,today,independent
a play,play,synonym
the us military,u.s.,hyponym
benefit,drug,independent
give them,set,independent
run,the race,other-related
iran 's,saturday,independent
station,zone,hyponym
pin,restrain,hypernym
a lady,a woman,synonym
being handled,handle,alternation
implement,measure,independent
home,period,independent
raise,standing,independent
the pool,the water,hyponym
huge,massive,hypernym
order,say,hyponym
terror attack,terrorist attack in,hypernym
be based,locate,independent
have,study,independent
european,western,hyponym
government,pollution,independent
have,rates,independent
hand,number,independent
baghdad,wound,independent
case,issue to,independent
european,union,independent
election,parliamentary,other-related
man,two people,hyponym
asian,many,independent
man and woman,sex,hyponym
ride,the horse,other-related
character,the role,synonym
boat,waters,independent
government,hong kong,other-related
force,seize,other-related
have cause,was a,independent
return,would be,independent
apt,likely,synonym
a long,a widespread,hypernym
are,wind,independent
air,track,independent
"olympic game ,",the olympic,hyponym
hand,job,independent
us president,w. bush,hypernym
say,south,independent
a group,camera,independent
air,the water,alternation
large,many,independent
's performance,performance,synonym
device,telephone,hypernym
two group,two team,synonym
been,pass,independent
air,ramp,independent
expect,have,independent
former,the last,hypernym
father,the man,hyponym
is spreading,spread,synonym
stuff,toy,hypernym
govern,iraq,other-related
american,u.s.,hypernym
create,first,independent
date,member,independent
iraq,offensive,other-related
short,very,independent
kofi,secretary-general,other-related
news,set,independent
king,lord,synonym
rain,snow,alternation
field,lawn,hypernym
executive,under,independent
dance,is playing,other-related
currency,end,independent
gathering,sit,independent
line,software,independent
month,people,independent
back,early,independent
april,euro,independent
deadline,order,independent
competition,race,hypernym
canada,help,independent
building of,construction .,synonym
u.s.,us troop,hypernym
pipeline,study,independent
a man 's,the man,hypernym
act,spot,independent
bush,president bush,hypernym
food,volume,independent
out in,part of the,independent
is,today,independent
distant,sea,independent
large,light,independent
"young ,",young woman,hypernym
are looking,are standing,independent
official,thursday,independent
person,ship,independent
organization,u.n.,hypernym
ask,was,independent
dan,give,independent
iraqi military,iraqi soldier,hypernym
netherlands,state,hyponym
is doing,is driving,hypernym
kid,wind,independent
is doing,is having,other-related
the left,the side,hyponym
heavily,many,alternation
costs,say,independent
lose their,people lose,hypernym
france,international,hypernym
military,troops,other-related
country,sweden,hypernym
leader,party,independent
church,place,hyponym
as president,the presidency of,synonym
field,run,other-related
cheese,pizza,hyponym
french,official,independent
move,play,hypernym
government,people,independent
earth,point,independent
nato,treaty,hyponym
be possible,use,independent
japanese,year,independent
new,record,independent
been,locate,independent
official,political leaders,other-related
seize,take,synonym
board,have,independent
asia,terror,independent
the council,the president,independent
failure,place,independent
measure,order,independent
protect the,protection,other-related
official,spokesman,hypernym
come,have,independent
china,trip,other-related
can be,possibility of,synonym
ground,the sun,independent
is setting up,set up,synonym
say,terrorism,independent
staging,stop,independent
line,revenue,independent
convention,effective,independent
plant,refinery,hypernym
a newspaper,newspaper,synonym
agree,have,independent
area,waters,independent
condemn,convict,other-related
great,relative,independent
a teenager,kid,hyponym
jewish,palestinian,independent
the company,the year,independent
move,rise,hypernym
case,number,other-related
less,likely,independent
have,send,independent
athens,greek,other-related
an employee,official,hypernym
european,system,independent
a window,windows,hyponym
expect,say,independent
